system:index,AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature,.geo
00000000000000002466_0,1301.0,63.907326,0.05218159749949703,26.24850109277634,89.89409981886479,38.344395,67.36669049993084,Point_9318,28.124822367562217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.88991890541992,26.24428102555182]}"
00000000000000002468_0,552.0,33.44179,0.04344960338342381,22.88966399681212,92.6003252505869,20.065075,68.42732226521997,Point_9320,28.216171651416403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.60283106346088,22.893565015786006]}"
00000000000000002469_0,139.0,4.145498,0.019458796944101686,31.49837721174601,91.72503281322378,2.4872987,51.86830360551632,Point_9321,1.2414537694719456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.72248208502374,31.499425437651023]}"
0000000000000000246c_0,1061.0,74.49891,0.05323312129926689,23.57606082815592,87.03695490776585,44.699345,48.17863743920754,Point_9324,30.902101691563928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.03327630191984,23.57628463171684]}"
0000000000000000246f_0,667.0,44.473606,0.039625289093625504,17.490093029555755,76.01836716132271,26.684164,32.006594671173,Point_9327,33.0332730240292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0199309186145,17.485707005386487]}"
00000000000000002471_0,737.0,76.30258,0.048949244478271356,27.680851862144248,79.46070525191183,45.78155,31.719989403678333,Point_9329,31.953727261225424,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46047845679227,27.681585480143056]}"
00000000000000002473_0,327.0,46.166405,0.037318890261057086,26.323546019700565,71.94720195306634,27.699842,14.202639451917836,Point_9331,35.77486034499276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.95056268155308,26.325129401122577]}"
00000000000000002475_0,606.0,56.773415,0.048728873108974204,27.66976137954706,95.51568820080249,34.06405,71.7206050576533,Point_9333,26.562247769037924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.51337258400812,27.67260232730186]}"
00000000000000002477_0,475.0,23.365788,0.032836300699021555,27.824173717712732,93.30168653767424,14.019473,80.75802583968115,Point_9335,14.031499613655967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.30351698507411,27.82531592560218]}"
00000000000000002478_0,654.0,44.040257,0.04510215299850767,20.545258575927384,83.55313989628937,26.424154,39.464668501312445,Point_9336,33.574024163352135,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5567961523773,20.548962124234055]}"
